Date,SessionTime,DriverAhead,DistanceToDriverAhead,Time,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Distance,RelativeDistance,Status,X,Y,Z,Driver,LapNumber,Year,Round,DRSActivatedPct
2024-03-02 15:03:42.342,0 days 00:59:59.911000,,0.13333333333333333,0 days 00:00:00,9973.268646907562,0.0,1,15.0,True,1,interpolation,0.0018074683770126444,3.5138165322832993e-07,OnTrack,-279.99894044645094,3550.0937087048387,-156.99970724866503,VER,1.0,2024,1,100.0
2024-03-02 15:03:42.390,0 days 00:59:59.959000,,0.13333333333333333,0 days 00:00:00.048000,9963.0,0.0,1,15.0,True,1,car,0.0,0.0,OnTrack,-279.999055799715,3550.0838229574856,-156.99973912008647,VER,1.0,2024,1,100.0
2024-03-02 15:03:42.460,0 days 01:00:00.029000,,0.13333333333333333,0 days 00:00:00.118000,9902.333444266667,0.0,1,15.0,True,1,pos,-0.00437275202659286,-8.500867045880162e-07,OnTrack,-280.0,3550.0,-157.0,VER,1.0,2024,1,100.0
2024-03-02 15:03:42.630,0 days 01:00:00.199000,3,0.13333333333333333,0 days 00:00:00.288000,9755.0,0.0,1,15.0,True,1,car,0.0,0.0,OnTrack,-280.00422180785324,3549.625201955754,-157.00116647377155,VER,1.0,2024,1,100.0
2024-03-02 15:03:42.700,0 days 01:00:00.269000,3,0.09444451555555555,0 days 00:00:00.358000,9387.500672,0.8749984,1,15.0,True,1,pos,0.024647147923358346,4.79153920191228e-06,OnTrack,-280.0,3550.0,-157.0,VER,1.0,2024,1,100.0
2024-03-02 15:03:42.870,0 days 01:00:00.439000,63,0.0,0 days 00:00:00.528000,8495.0,3.0,1,15.0,False,1,car,0.2,3.888108447120807e-05,OnTrack,-279.9653889181164,3553.0726566082867,-156.9904370543082,VER,1.0,2024,1,100.0
2024-03-02 15:03:43.040,0 days 01:00:00.609000,63,0.0,0 days 00:00:00.698000,7305.000896,8.6666624,1,15.0,False,1,pos,0.6696833165028766,0.00013019006798953558,OnTrack,-280.0,3558.0,-157.0,VER,1.0,2024,1,100.0
2024-03-02 15:03:43.110,0 days 01:00:00.679000,81,0.0,0 days 00:00:00.768000,6815.0,11.0,1,15.0,False,1,car,0.9333333333333333,0.0001814450608656377,OnTrack,-280.06452146546184,3560.21665981646,-157.01782710151167,VER,1.0,2024,1,100.0
2024-03-02 15:03:43.270,0 days 01:00:00.839000,4,0.0,0 days 00:00:00.928000,5695.0,17.0,1,15.0,False,1,car,1.688888888888889,0.0003283291577568682,OnTrack,-280.31461229859906,3565.7041495879566,-157.08692650335502,VER,1.0,2024,1,100.0
2024-03-02 15:03:43.460,0 days 01:00:01.029000,4,0.0,0 days 00:00:01.118000,4761.190655931343,23.19047499892531,1,17.38095192266358,False,1,pos,3.026939906128044,0.0005884535308971756,OnTrack,-280.0,3574.0,-157.0,VER,1.0,2024,1,100.0
2024-03-02 15:03:43.619,0 days 01:00:01.188000,4,0.0,0 days 00:00:01.277000,3979.738837528463,28.37093070480876,1,19.373434886464906,False,1,pos,4.496794101427238,0.0008742011565361132,OnTrack,-279.0,3585.0,-157.0,VER,1.0,2024,1,100.0
2024-03-02 15:03:43.669,0 days 01:00:01.238000,4,0.0,0 days 00:00:01.327000,3734.0,30.0,1,20.0,False,1,car,5.013888888888888,0.0009747271870907023,OnTrack,-278.7053953757469,3591.6478168886842,-157.37543401977504,VER,1.0,2024,1,100.0
2024-03-02 15:03:43.819,0 days 01:00:01.388000,4,0.0,0 days 00:00:01.477000,4293.12547712,35.25000448,1,24.500003839999998,False,1,pos,6.722578236360743,0.0013069056613612354,OnTrack,-278.0,3616.0,-159.0,VER,1.0,2024,1,100.0
2024-03-02 15:03:44.069,0 days 01:00:01.638000,4,0.0,0 days 00:00:01.727000,5225.0,44.0,1,32.0,False,1,car,9.902777777777779,0.0019251536963869,OnTrack,-277.32043160360803,3633.140946496266,-158.33797596920317,VER,1.0,2024,1,100.0
2024-03-02 15:03:44.159,0 days 01:00:01.728000,4,0.0750001066666664,0 days 00:00:01.817000,5677.2506432,46.2500032,1,39.3125104,False,1,pos,11.066394112814418,0.0021513670214600863,OnTrack,-277.0,3641.0,-158.0,VER,1.0,2024,1,100.0
2024-03-02 15:03:44.229,0 days 01:00:01.798000,4,0.13333333333333286,0 days 00:00:01.887000,6029.0,48.0,1,45.0,False,1,car,12.036111111111111,0.002339885264079786,OnTrack,-276.67559742193305,3649.7580371837958,-157.91813169361154,VER,1.0,2024,1,100.0
2024-03-02 15:03:44.359,0 days 01:00:01.928000,4,0.16926392426666662,0 days 00:00:02.017000,6711.17567168,53.20000512,1,47.60000256,False,1,pos,14.098164305170638,0.0027407595861915508,OnTrack,-276.0,3670.0,-158.0,VER,1.0,2024,1,100.0
2024-03-02 15:03:44.559,0 days 01:00:02.128000,4,0.224541702044445,0 days 00:00:02.217000,7760.67567168,61.20000512,1,51.60000256,False,1,pos,17.79892581657827,0.0034602076908557297,OnTrack,-275.0,3703.0,-158.0,VER,1.0,2024,1,100.0
2024-03-02 15:03:44.629,0 days 01:00:02.198000,14,0.2438888888888897,0 days 00:00:02.287000,8128.0,64.0,1,53.0,False,1,car,19.147222222222222,0.003722323823056073,OnTrack,-274.44875750078575,3715.3144700571147,-157.9703854558158,VER,1.0,2024,1,100.0
2024-03-02 15:03:44.779,0 days 01:00:02.348000,14,0.07774291377777429,0 days 00:00:02.437000,9178.000896,71.5000064,1,61.4375072,False,1,pos,22.136967171194616,0.004303546452597891,OnTrack,-273.0,3744.0,-158.0,VER,1.0,2024,1,100.0
2024-03-02 15:03:44.789,0 days 01:00:02.358000,44,0.06666666666666288,0 days 00:00:02.447000,9248.0,72.0,1,62.0,False,1,car,22.347222222222225,0.004344421174595403,OnTrack,-272.90463991566503,3746.0842260609325,-158.01683003897338,VER,1.0,2024,1,100.0
2024-03-02 15:03:45.069,0 days 01:00:02.638000,44,0.22222222222222143,0 days 00:00:02.727000,10338.0,84.0,1,64.0,False,1,car,28.880555555555553,0.005614536600654865,OnTrack,-270.4009691982243,3811.8250350725043,-158.9553155166137,VER,1.0,2024,1,100.0
2024-03-02 15:03:45.119,0 days 01:00:02.688000,44,0.22222222222222143,0 days 00:00:02.777000,10655.188312,86.0312552,1,66.0312552,False,1,pos,30.1557138724811,0.005862434291827594,OnTrack,-270.0,3824.0,-159.0,VER,1.0,2024,1,100.0
2024-03-02 15:03:45.389,0 days 01:00:02.958000,44,0.22222222222222143,0 days 00:00:03.047000,12368.0,97.0,1,77.0,False,1,car,37.50277777777778,0.007290743353413614,OnTrack,-267.96359169478313,3890.0146130716016,-158.21029089253437,VER,1.0,2024,1,100.0
2024-03-02 15:03:45.479,0 days 01:00:03.048000,44,0.2053471982222208,0 days 00:00:03.137000,11853.8742688,100.3750048,1,83.7500096,False,1,pos,40.08040979168062,0.007791848993754847,OnTrack,-267.0,3914.0,-158.0,VER,1.0,2024,1,100.0
2024-03-02 15:03:45.629,0 days 01:00:03.198000,14,0.17722222222221973,0 days 00:00:03.287000,10997.0,106.0,2,95.0,False,1,car,44.56944444444444,0.0086645416713963,OnTrack,-264.91023237195526,3957.377556241635,-157.9745631912697,VER,1.0,2024,1,100.0
2024-03-02 15:03:45.699,0 days 01:00:03.268000,14,0.19958337422221833,0 days 00:00:03.357000,10961.999936,109.75000685714286,2,96.25000228571429,False,1,pos,46.784061756995264,0.00909507528539974,OnTrack,-264.0,3979.0,-158.0,VER,1.0,2024,1,100.0
